,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,AUDI A6,2.0TDI Advanced edition S-T 140kW,2017,Valencia,87604,2017-05-01,12,Negro,C,23900,48679.0,4933.0,1874.0,1455.0,2.912,530/995,2.24,Berlina,4.0,5.0,Diesel,1.9680000000000002,4,Turbo,Tracción delantera,Automática secuencial,7.0,140.0,,400.0,232.0,8.2,5.2,3.9,4.4,114.0,7300.0,Vendedor profesional,2020-11-07
4,AUDI Q5,2.0TDI Advanced 110kW,2018,Castellón,67000,2018-01-01,24,Blanco,C,33400,43953.0,4663.0,1893.0,1659.0,2.819,550/1.550,2.32,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,110.0,,320.0,206.0,9.7,5.2,4.0,4.5,120.0,6500.0,Vendedor profesional,2020-11-07
5,AUDI A4,Avant 2.0 TFSI ultra Sport ed. S-T 140kW,2016,Vizcaya,73000,2016-01-01,12,Azul Metalizado,C,26900,46204.0,4725.0,1842.0,1431.0,2.82,505/1.510,2.06,Stationwagon,5.0,5.0,Gasolina,1.984,4,Turbo,Tracción delantera,Automática secuencial,7.0,140.0,,320.0,238.0,7.5,6.8,4.9,5.2,124.0,5400.0,Vendedor profesional,2020-11-07
6,AUDI Q3,2.0TDI Advanced Ed. quattro S-Tronic,2014,Toledo,45000,2014-12-01,12,Blanco,C,21900,37319.0,4385.0,1831.0,1608.0,2.603,460/1.365,2.17,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Todo terreno tracción total permanente,Automática secuencial,7.0,103.0,,320.0,0.0,0.0,6.8,5.2,5.8,152.0,6400.0,Vendedor profesional,2020-11-07
7,AUDI A3,Sportback 1.6TDI CD Advanced,2016,Sevilla,78174,2016-06-01,12,Blanco,C,15500,26935.0,4310.0,1785.0,1425.0,2.636,380/1.220,1.8,Berlina,5.0,5.0,Diesel,1.598,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,81.0,,250.0,200.0,10.7,4.7,3.6,4.0,105.0,5000.0,Vendedor profesional,2020-10-08
8,AUDI A5,Sportback 2.0TDI Sport S tronic 140kW,2017,Madrid,77690,2017-05-01,12,Rojo,C,31300,51149.0,4733.0,1843.0,1386.0,2.824,480/0,2.115,Berlina,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,140.0,,400.0,235.0,7.9,4.9,3.8,4.2,112.0,5400.0,Vendedor profesional,2020-11-07
9,AUDI Q3,35 TDI S line S tronic 110kW,2019,Barcelona,16740,2019-06-01,24,Blanco,C,34200,44448.0,4484.0,1849.0,1616.0,2.68,530/1.525,2.085,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,110.0,,340.0,207.0,9.2,6.1,3.2,4.7,121.0,6400.0,Vendedor profesional,2020-11-07
11,AUDI A4,Avant 2.0TDI Advanced edition 110kW,2016,Pontevedra,198900,2016-01-01,12,Gris,C,12990,40193.0,4725.0,1842.0,1431.0,2.82,505/1.510,2.095,Stationwagon,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,110.0,,320.0,215.0,9.2,4.8,3.6,4.0,109.0,4000.0,Vendedor profesional,2020-05-21
12,AUDI A4,Avant 2.0TDI CD S line ed. Q. S-T 190,2016,Madrid,125000,2016-04-01,12,Sline - TECHO PANORAMICO - FULL LED - NAVI,C,24000,45571.0,4699.0,1826.0,1436.0,2.8080000000000003,490/1.430,2.27,Stationwagon,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción total permanente,Automática secuencial,7.0,140.0,,400.0,230.0,7.4,6.1,4.7,5.2,137.0,6100.0,Vendedor profesional,2020-11-06
13,AUDI Q3,40 TFSI S line quattro S tronic,2019,Madrid,18223,2019-01-01,24,Naranja,C,36900,48348.0,4484.0,1856.0,1616.0,2.68,530/1.525,1.985,Todo Terreno,5.0,5.0,Gasolina,1.984,4,Turbo,Todo terreno tracción total permanente,Automática secuencial,7.0,140.0,,320.0,220.0,7.4,9.2,6.0,7.3,166.0,6000.0,Vendedor profesional,2020-11-07
